Freq,Range,Doppler,Polarize,Ampltude,Ampltude_before_proc,Antena_channel,Noise
1.400,320,3.906,90,84,12,5,80.719
1.400,335,3.906,90,84,12,5,80.719
1.400,350,3.906,90,84,12,5,80.719
1.400,415,3.906,90,84,12,5,80.719
1.400,430,3.906,90,84,12,5,80.719
1.400,455,-2.344,90,84,12,11,80.719
1.400,465,-5.469,90,84,12,15,80.719
1.400,470,5.469,90,84,12,7,80.719
1.400,480,-5.469,90,84,12,15,80.719
1.400,485,5.469,90,84,12,7,80.719
1.400,495,-5.469,90,84,12,15,80.719
1.400,500,5.469,90,84,12,7,80.719
1.400,505,5.469,90,84,12,7,80.719
1.400,510,-5.469,90,84,12,15,80.719
1.400,515,5.469,90,84,12,7,80.719
1.400,520,5.469,90,84,12,7,80.719
1.400,525,3.906,90,84,12,5,80.719
1.400,530,5.469,90,84,12,7,80.719
1.400,535,5.469,90,84,12,7,80.719
1.400,545,-5.469,90,84,12,15,80.719
1.400,550,5.469,90,84,12,7,80.719
1.400,555,5.469,90,84,12,7,80.719
1.400,560,-5.469,90,84,12,15,80.719
1.400,565,5.469,90,84,12,7,80.719
1.400,570,5.469,90,84,12,7,80.719
1.400,575,3.906,90,84,12,5,80.719
1.400,580,5.469,90,84,12,7,80.719
1.400,585,5.469,90,84,12,7,80.719
1.400,590,3.906,90,84,12,5,80.719
1.400,595,-2.344,90,84,12,11,80.719
1.400,600,5.469,90,84,12,7,80.719
1.400,615,-2.344,90,84,12,11,80.719
1.400,630,-2.344,90,84,12,11,80.719
1.400,645,5.469,90,84,12,7,80.719
1.400,660,5.469,90,84,12,7,80.719
1.400,680,-2.344,90,84,12,11,80.719
1.400,695,5.469,90,84,12,7,80.719
1.500,60,3.906,90,78,11,5,76.219
1.500,65,2.344,90,78,11,3,76.219
1.500,75,3.906,90,78,11,5,76.219
1.500,80,2.344,90,78,11,3,76.219
1.500,85,-5.469,90,78,11,15,76.219
1.500,90,3.906,90,78,11,5,76.219
1.500,95,2.344,90,78,11,3,76.219
1.500,100,-5.469,90,78,11,15,76.219
1.500,105,2.344,90,78,11,3,76.219
1.500,110,3.906,90,78,11,5,76.219
1.500,115,-5.469,90,78,11,15,76.219
1.500,125,3.906,90,78,11,5,76.219
1.500,130,-5.469,90,78,11,15,76.219
1.500,135,-5.469,90,78,11,15,76.219
1.500,140,3.906,90,78,11,5,76.219
1.500,145,2.344,90,78,11,3,76.219
1.500,150,-5.469,90,78,11,15,76.219
1.500,155,3.906,90,78,11,5,76.219
1.500,160,3.906,90,78,11,5,76.219
1.500,165,-5.469,90,78,11,15,76.219
1.500,170,2.344,90,78,11,3,76.219
1.500,175,-5.469,90,78,11,15,76.219
1.500,180,-5.469,90,78,11,15,76.219
1.500,185,2.344,90,78,11,3,76.219
1.500,190,-5.469,90,78,11,15,76.219
1.500,195,2.344,90,78,11,3,76.219
1.500,205,-5.469,90,78,11,15,76.219
1.500,210,3.906,90,78,11,5,76.219
1.500,220,2.344,90,78,11,3,76.219
1.500,225,3.906,90,78,11,5,76.219
1.500,235,2.344,90,78,11,3,76.219
1.500,240,3.906,90,78,11,5,76.219
1.500,250,2.344,90,78,11,3,76.219
1.500,255,3.906,90,78,11,5,76.219
1.500,260,-5.469,90,78,11,15,76.219
1.500,265,-5.469,90,78,11,15,76.219
1.500,270,2.344,90,78,11,3,76.219
1.500,280,-5.469,90,78,11,15,76.219
1.500,285,2.344,90,78,11,3,76.219
1.500,290,-5.469,90,78,11,15,76.219
1.500,295,-5.469,90,78,11,15,76.219
1.500,300,2.344,90,78,11,3,76.219
1.500,305,-5.469,90,78,11,15,76.219
1.500,315,-5.469,90,78,11,15,76.219
1.500,330,-5.469,90,78,11,15,76.219
1.500,345,-5.469,90,78,11,15,76.219
1.500,355,-0.781,90,78,11,9,76.219
1.500,360,-5.469,90,78,11,15,76.219
1.500,370,-0.781,90,78,11,9,76.219
1.500,375,-5.469,90,78,11,15,76.219
1.500,395,-5.469,90,78,11,15,76.219
1.500,405,-0.781,90,78,11,9,76.219
1.500,410,-5.469,90,78,11,15,76.219
1.500,420,-0.781,90,78,11,9,76.219
1.500,425,-5.469,90,78,11,15,76.219
1.500,440,-5.469,90,78,11,15,76.219
1.500,455,-0.781,90,78,11,9,76.219
1.500,485,5.469,90,78,11,7,76.219
1.500,505,0.781,90,78,11,1,76.219
1.500,515,-0.781,90,78,11,9,76.219
1.500,520,-0.781,90,78,11,9,76.219
1.500,525,-5.469,90,78,11,15,76.219
1.500,535,5.469,90,78,11,7,76.219
1.500,540,-5.469,90,78,11,15,76.219
1.500,550,5.469,90,78,11,7,76.219
1.500,555,-5.469,90,78,11,15,76.219
1.500,565,5.469,90,78,11,7,76.219
1.500,570,-5.469,90,78,11,15,76.219
1.500,575,-5.469,90,78,11,15,76.219
1.500,580,5.469,90,78,11,7,76.219
1.500,585,-5.469,90,78,11,15,76.219
1.500,595,-3.906,90,78,11,13,76.219
1.500,600,-5.469,90,78,11,15,76.219
1.500,605,-5.469,90,78,11,15,76.219
1.500,615,-5.469,90,78,11,15,76.219
1.500,620,-5.469,90,78,11,15,76.219
1.500,630,-5.469,90,78,11,15,76.219
1.500,635,-5.469,90,78,11,15,76.219
1.500,645,-5.469,90,78,11,15,76.219
1.500,650,-5.469,90,78,11,15,76.219
1.500,655,-5.469,90,78,11,15,76.219
1.500,665,-5.469,90,84,12,15,76.219
1.500,670,-5.469,90,78,11,15,76.219
1.500,675,5.469,90,78,11,7,76.219
1.500,680,-5.469,90,84,12,15,76.219
1.500,685,-5.469,90,78,11,15,76.219
1.500,690,-3.906,90,78,11,13,76.219
1.500,695,-5.469,90,78,11,15,76.219
1.600,60,2.344,90,78,11,3,73.641
1.600,65,2.344,90,78,11,3,73.641
1.600,80,2.344,90,78,11,3,73.641
1.600,85,2.344,90,78,11,3,73.641
1.600,105,2.344,90,78,11,3,73.641
1.600,120,2.344,90,78,11,3,73.641
1.600,125,2.344,90,78,11,3,73.641
